Table No 6,,,,,,,,,,,,,,,
PROVINCE-WISE AREA & PRODUCTION  OF WHEAT CROP IN PAKISTAN,,,,,,,,,,,,,,,
PROVINCE-WISE AREA & PRODUCTION  OF JOWAR CROP IN PAKISTAN,,,,,,,,,,,,,,,
Province/,,,,,,,,,,,,,,,
Year,,,,,,,,,,,,,,,
2000-01,238.4,87.2,8.8,19.2,353.6,,,,,,,,,,
DISTRICT-WISE AREA & PRODUCTION  OF JOWAR CROP IN PUNJAB,,,,,,,,,,,,,,,
District/,,,,,,,,,,,,,,,
Year,Attock,Rawalpindi,Islamaba d,Jhelum,C hakwal,,Sargodha,Khushab,Mianwali,Bhakkar,,,,,
2000-01,22.9,39.6,1.9,3.3,,22.8,7,17.2,8.4,1.3,,,,,
DISTRICT-WISE AREA & PRODUCTION  OF JOWAR CROP IN PUNJAB,,,,,,,,,,,,,,,
District/,,Toba,,,,,,,,,,,,,
Year,Faisalabad,T  e  k  Singh,Jhang,,Gujrat,,M.B. Din,Sialkot,,Narowal,Gujranwala,Hafizabad,,,
2000-01,0.2,0.1,,6.6,,7.9,20.9,,1.3,0.1,1.9,2.4,,,
DISTRICT-WISE AREA & PRODUCTION  OF JOWAR CROP IN PUNJAB,,,,,,,,,,,,,,,
District/,Sheikhu,,Nankana,,,,,,,,,,,,
Year,pura,,Sahib,Lahore,,Kasur,,Okara,,Sahiwal,,Pakpattan,Multan,,Lodhran
2000-01,,2.3,0,,0.1,,0.6,,0.5,,0.5,0.2,,0.9,1.2
DISTRICT-WISE AREA & PRODUCTION  OF JOWAR CROP IN PUNJAB,,,,,,,,,,,,,,,
District/,,,,,,,,Bahawal,Rahimyar,Bahawal,,,,,
Year,Khanewal,Vehari,,M. Garh,Layyah,D.G. Khan,Rajanpur,pur,Khan,nagar,,,,,
2000-01,0.6,,0.3,6.5,1,10.2,4,10.9,16.1,16.7,,,,,
DISTRICT-WISE AREA & PRODUCTION  OF JOWAR CROP IN SINDH,,,,,,,,,,,,,,,
District/,,,,,,,,,,,,,,,
Year,Khairpur,,Ghotki,,Sukkur,,N. Feroze,,Nawabshah,Jacobabad,,Kashmore,,Shikarpur,
2000-01,,35.9,,6.2,,10.5,,8.7,11.5,,6.5,,0,,0.9
"District/Year",Larkana,K.S.Kot,Sanghar,Thar parkar,Mirpur khas,Umarkot,Dadu,Jamshoro,,,,,,,
2000-01,2,0,1.3,0.3,0.3,0,2.4,0,,,,,,,
DISTRICT-WISE AREA & PRODUCTION  OF JOWAR CROP IN SINDH,,,,,,,,,,,,,,,
District/,,,,,,,,,,,,,,,
Year,Hyderabad,,Matiari,,Tando Allahyar,T.M.Khan,Badin,,Thatta,,Karachi,,,,
2000-01,,0.2,,0,0,0,,0.2,,0.1,,0.2,,,
#NAME?,,,,,,,,,,,,,,,
District/,,,,,,,,,,,,,,,
Year,Peshawar,Charsadda  Nowshera,Mardan,Swabi,,Kohat,,Hangu,,Karak,,Mansehra,,,
2000-01,0,0.0 0.0,1.1,,0.5,,0,,0,,0.8,0,,,
#NAME?,,,,,,,,,,,,,,,
District/,,Abbottaba,,,,,,,,,,,,,
Year,Battagram,d,Haripur,,Kohistan,Malakand,Swat,,Bunir,,Shangla,,Dir  Lower,,
2000-01,0,0,,0.9,0,0,,0,,0,,0,0,,
#NAME?,,,,,,,,,,,,,,,
District/,,,,,,,,,Lakki,Mohmand,,,,,
Year,Dir Upper,Chitral,,D.I.Khan,Tank,,Bannu,,Marwat,Agency,Khyber,,Kurram,,
2000-01,0,,0,3.6,,0.2,,0,0.8,0,,0.3,,0,
T-WISE AREA & PRODUCTION  OF JOWAR CROP IN KHYBER PAHKHTUNKHWA,,,,,,,,,,,,,,,
District/,,,,,,,,,F.R.,,,,F.R. D.I.,,
Year,Orakzai,,Bajour,,N.W,,S.W,,Peshawar,,F.R. Kohat,F.R. Bannu,Khan,,
2000-01,,0,,0.2,,0,,0,,0.2,0.2,0,,0,
TRICT-WISE AREA & PRODUCTION  OF JOWAR CROP IN BALOCHISTAN,,,,,,,,,,,,,,,
District/,,,,,Killa,,,,,,,,Killa,,
Year,Quetta,,Pishin,,Abdullah,Chagai,,Loralai,,Musa Khail Barkhan,Zhob,,Saifullah,,
2000-01,,0,,0,0,,0,,1.5,0.0 0.0,,0,0.3,,
TRICT-WISE AREA & PRODUCTION  OF JOWAR CROP IN BALOCHISTAN,,,,,,,,,,,,,,,
District/,,,,,,,,Dera,,,,,,,
Year,Sibi,,Ziarat,,Kohlu,,Kachhi,Bughti,,Nasirabad,Jafferabad,Tomboo,,Bolan,
2000-01,,1.6,,0,,0,7.2,,0.2,6.5,0,0,,,0
TRICT-WISE AREA & PRODUCTION  OF JOWAR CROP IN BALOCHISTAN,,,,,,,,,,,,,,,
District/,,,,,,,,,Jhal,,,,,,
Year,Mastung,Khuzdar,Awaran,Kharan,Lasbela,Turbat,Panjgoor,Gwadar,Magsi,,Kalat,,,,
2000-01,0,0.1,0,1.3,0.1,0.3,0,0,0,,,0.1,,,
PROVINCE-WISE AREA & PRODUCTION  OF BARLEY CROP IN PAKISTAN,,,,,,,,,,,,,,,
Province/,,,,,,,,,,,,,,,
Year,,,,,,,,,,,,,,,
2000-01,32,16.3,43.9,20.8,113,,,,,,,,,,
DISTRICT-WISE AREA & PRODUCTION  OF BARLEY CROP IN PUNJAB,,,,,,,,,,,,,,,
District/,,,,,,,,,,,,,,,
Year,Attock,,Rawalpindi,Islamaba d,Jhelum,C hakwal,,Sargodha,Khushab,Mianwali,Bhakkar,,,,
2000-01,,1.5,0.5,0,0.2,,0.8,1.2,1,0.8,2.7,,,,
DISTRICT-WISE AREA & PRODUCTION  OF BARLEY CROP IN PUNJAB,,,,,,,,,,,,,,,
District/,,Toba,,,,,,,,,,,,,
Year,Faisalabad,Te k  Singh,Jhang,,Gujrat,,M.B. Din,Sialkot,,Narowal,Gujranwala,Hafizabad,,,
2000-01,0.3,0.1,,1,,0.1,0.4,,0.2,0.3,0.5,0.4,,,
